sequence,split,stride,raw_frames,processed_frames,evaluation_keyframes,odometry_ate_m,loop_ate_m,stationary_ate_m,loop_change_m,initial_alignment_ate_m,rpe_1s_translation_m,rpe_1s_yaw_deg,rpe_pairs,rpe_actual_lag_minmax_s,estimated_length_m,reference_length_m,rejected_pairs,loop_constraints,median_loop_translation_error_m,median_loop_yaw_error_deg,duration_s,dt_quantiles_s,tilt_minmax_deg,vertical_span_m,estimate_seconds
2023-09-20_180722,development,1,751,751,81,2.88750086452539,2.8875008645253892,0.7619452803472377,-8.881784197001252e-16,3.5408252676132106,1.7706433367646863,66.18640209587892,735,"[0.9398980140686035, 1.0600919723510742]",133.4964539996685,2.8482417204080552,5,0,,,53.45565891265869,"[0.03652215003967285, 0.06739556789398193, 0.19659686088562012]","[-42.0, -42.0]",0.0,2.8410590830026194
2023-09-20_180722,development,5,751,151,81,1.1929828437355183,1.106414677929108,0.7616623886224505,-0.08656816580641036,2.003812916072368,0.8989080222624863,36.41795643409575,138,"[0.8558211326599121, 1.1438548564910889]",31.020781317954366,2.8481155981097572,1,21,0.7959756368444939,36.15681913602171,53.45565891265869,"[0.3144378662109375, 0.3334745168685913, 0.5331039428710938]","[-42.0, -42.0]",0.0,0.6612316670070868
2023-09-20_180722,development,20,751,39,39,0.6741231964906346,0.5834810671863481,0.7758835161239929,-0.0906421293042865,1.6742917213548194,,,0,,6.101148919199853,2.847332674483406,0,3,0.20700270834208662,31.31567283803528,53.45565891265869,"[0.666917085647583, 1.3938055038452148, 1.6768410205841064]","[-42.0, -42.0]",0.0,0.21391637501074
2023-09-21_100927,development,1,725,725,81,1.277449919113696,1.3453895266355356,0.7351357015272306,0.06793960752183947,2.0006291114971986,0.9127716749214987,43.64752931171972,709,"[0.933211088180542, 1.0667331218719482]",65.36286475313622,2.7061784206503052,0,6,1.7758235084367788,84.36136135561628,49.4994261264801,"[0.05204010009765625, 0.0667414665222168, 0.16672301292419434]","[-22.0, -22.0]",2.220446049250313e-16,2.497829708008794
2023-09-21_100927,development,5,725,146,81,0.7478122848711359,0.8346203214266144,0.7357875493264809,0.08680803655547842,2.1030705341145577,0.3335310146044184,15.304322894890785,139,"[0.8670048713684082, 1.1340041160583496]",14.213655440897996,2.7060969770178542,0,33,0.9495559243615894,47.242737310884024,49.4994261264801,"[0.26662206649780273, 0.3333549499511719, 0.5336339473724365]","[-22.0, -22.0]",2.220446049250313e-16,0.6529787500039674
2023-09-21_100927,development,20,725,38,38,0.8223849061276061,0.7774144305435916,0.7547948173229075,-0.04497047558401446,1.224331731813962,,,0,,7.952441172338071,2.7054340845516505,0,9,0.49034446786763247,7.467283919585692,49.4994261264801,"[0.26662206649780273, 1.333345890045166, 1.6002140045166016]","[-22.0, -22.0]",0.0,0.17282833400531672
2023-09-21_105856,development,1,220,220,81,0.10471693612494583,0.14896484626892803,0.21316319878016382,0.0442479101439822,0.3343607163958277,0.03178469922493831,0.8259993995441296,204,"[0.9865870475769043, 1.013253927230835]",0.9484738687210539,0.7223951259329868,0,69,0.1110179104958704,1.0115329818094083,14.599982023239136,"[0.05279111862182617, 0.06673192977905273, 0.08053398132324219]","[-60.0, -60.0]",0.0,0.680024333007168
2023-09-21_105856,development,5,220,45,45,0.10839886661019309,0.16336375858344945,0.2159588592939125,0.054964891973256366,0.34560099467468314,0.034403940006470554,0.8869333347056453,41,"[0.9939680099487305, 1.006005048751831]",0.5377335512866288,0.7223951259170373,0,33,0.18559524227291407,1.4707334286306715,14.599982023239136,"[0.26685404777526855, 0.3332115411758423, 0.3391408920288086]","[-60.0, -60.0]",0.0,0.27480491701862775
2023-09-21_105856,development,20,220,12,12,0.18683490153281956,0.18683490153281956,0.2285975532142049,0.0,0.37807905542195863,,,0,,0.18849448436630548,0.7223951259170373,0,0,,,14.599982023239136,"[1.266819953918457, 1.3331050872802734, 1.339845895767212]","[-60.0, -60.0]",0.0,0.02778970799408853
2023-09-21_123500,development,1,780,780,81,1.3909750256706788,1.368356800165596,0.7576974660001896,-0.022618225505082856,2.2392665063266715,1.208461188279879,59.57823517039381,764,"[0.9241349697113037, 1.066483974456787]",93.95545841393131,2.8182087807843015,0,7,0.6651927778336948,41.31568781856168,52.50917291641235,"[0.047781944274902344, 0.06673192977905273, 0.18071603775024414]","[-42.0, -42.0]",0.0,2.7685167909949087
2023-09-21_123500,development,5,780,157,81,1.037337012614426,0.8361338117231887,0.7578815133158281,-0.20120320089123722,1.9417874429211128,0.3278602192140957,14.013017785601432,153,"[0.9897141456604004, 1.134871006011963]",14.782122236878024,2.8181136293401416,0,33,0.7181278006436603,33.57560047485076,52.50917291641235,"[0.2676279544830322, 0.33335351943969727, 0.4665350914001465]","[-42.0, -42.0]",0.0,0.7304056249849964
